NondrugItemID|ItemName|ProductID|
130|27 gauge, needle with vial adapter|24051|
131|21 gauge, 1.5 inch needle|7177|
132|Syringe (unspecified size)|4256|
133|Syringe (unspecified size)|19044|
134|Needle (unspecified size)|19045|
135|Alcohol Pad or Swab|19045|
136|Alcohol Pad or Swab|19044|
137|Alcohol Pad or Swab|4256|
138|Sterile Water for Injection|11108|
139|Needle (unspecified size)|11108|
140|Vaginal Applicator|27487|
141|Vaginal Applicator|25937|
143|Vaginal Applicator|29314|
144|Vaginal Applicator|29315|
145|Vented Transfer Device|1170|
146|Large Volume Conical Filter|1170|
147|29 gauge, 0.5 inch Pen Needle|32670|
148|29 gauge, 0.5 inch Pen Needle|32671|
153|Vented Transfer Device|16328|
154|Double-Ended Needle|4853|
155|Filter needle|4853|
156|Vented Transfer Device|32679|
157|IV Administration Set (unspecified)|32679|
158|Double-Ended Needle|32674|
159|Filter needle|32674|
160|IV Administration Set (unspecified)|32674|
161|Double-Ended Needle|30327|
162|Filter needle|30327|
163|IV Administration Set (unspecified)|30327|
164|Double-Ended Needle|32673|
165|Filter needle|32673|
166|IV Administration Set (unspecified)|32673|
167|Double-Ended Needle|30326|
168|Filter needle|30326|
169|IV Administration Set (unspecified)|30326|
170|Double-Ended Needle|32681|
171|Filter needle|32681|
172|IV Administration Set (unspecified)|32681|
173|Double-Ended Needle|32682|
174|Filter needle|32682|
175|IV Administration Set (unspecified)|32682|
176|Double-Ended Needle|1226|
177|Filter needle|1226|
178|IV Administration Set (unspecified)|1226|
179|Double-Ended Needle|32693|
180|IV Administration Set (unspecified)|32693|
181|Filter needle|32693|
182|Double-Ended Needle|32694|
183|IV Administration Set (unspecified)|32694|
184|Filter needle|32694|
185|IV Transfer Set|20194|
186|Filter Spike|20194|
187|Alcohol Pad or Swab|20194|
188|IV Transfer Set|32697|
189|Alcohol Pad or Swab|32697|
190|Filter Spike|32697|
191|IV Transfer Set|32699|
192|Filter Spike|32699|
193|Alcohol Pad or Swab|32699|
194|Double-Ended Needle|6643|
195|Winged Infusion Set|6643|
196|Filter needle|6643|
198|Alcohol Pad or Swab|6643|
199|Double-Ended Needle|32703|
200|Filter needle|32703|
201|Alcohol Pad or Swab|32703|
202|Winged Infusion Set|32703|
203|Filter Spike|32703|
204|Filter Spike|6643|
205|Double-Ended Needle|32704|
206|Filter Spike|32704|
207|Winged Infusion Set|32704|
208|Alcohol Pad or Swab|32704|
209|Filter needle|32704|
210|Double-Ended Needle|32706|
211|Filter Spike|32706|
212|Filter needle|32706|
213|Winged Infusion Set|32706|
214|Alcohol Pad or Swab|32706|
215|Double-Ended Needle|17878|
216|Filter Spike|17878|
217|Alcohol Pad or Swab|17878|
218|IV Administration Set (unspecified)|17878|
219|Double-Ended Needle|17881|
220|Filter Spike|17881|
221|IV Administration Set (unspecified)|17881|
222|Alcohol Pad or Swab|17881|
223|Double-Ended Needle|17879|
224|Filter Spike|17879|
225|IV Administration Set (unspecified)|17879|
226|Alcohol Pad or Swab|17879|
227|IV Administration Set (unspecified)|22311|
228|Alcohol Pad or Swab|22311|
230|Vial adapter|22311|
231|Vial adapter|528|
232|IV Administration Set (unspecified)|528|
233|Alcohol Pad or Swab|528|
234|Sodium Chloride 0.9%, for Injection|528|
235|Sodium Chloride 0.9%, for Injection|22323|
236|Vial adapter|22323|
237|IV Administration Set (unspecified)|22323|
238|Alcohol Pad or Swab|22323|
239|Sodium Chloride 0.9%, for Injection|22352|
240|Vial adapter|22352|
241|IV Administration Set (unspecified)|22352|
242|Alcohol Pad or Swab|22352|
243|Double-Ended Needle|12793|
244|Filter Spike|12793|
245|Winged Infusion Set|12793|
246|Alcohol Pad or Swab|12793|
247|Double-Ended Needle|32719|
248|Winged Infusion Set|32719|
249|Alcohol Pad or Swab|32719|
250|Filter Spike|32719|
251|Double-Ended Needle|17676|
252|Filter needle|17676|
253|IV Administration Set (unspecified)|17676|
254|Double-Ended Needle|32720|
255|IV Administration Set (unspecified)|32720|
256|Filter needle|32720|
257|Double-Ended Needle|32721|
258|Filter needle|32721|
259|IV Administration Set (unspecified)|32721|
260|Double-Ended Needle|30351|
261|Filter needle|30351|
262|Double-Ended Needle|32724|
263|Filter needle|32724|
264|Double-Ended Needle|32726|
265|Filter needle|32726|
266|Double-Ended Needle|4852|
267|Filter needle|4852|
268|Double-Ended Needle|32728|
269|Filter needle|32728|
270|Double-Ended Needle|4854|
271|Filter needle|4854|
272|Double-Ended Needle|32729|
273|Filter needle|32729|
274|Vaginal Applicator|32744|
275|In-Line Filter|4010|
277|Needle (unspecified size)|11109|
278|Sterile Water for Injection|11109|
279|26 gauge, 0.375 inch needle|32774|
280|Lubricating jelly|1056|
281|Lubricating jelly|1057|
282|Lubricating jelly|1054|
283|Lubricating jelly|1058|
284|Lubricating jelly|1055|
285|Vaginal Applicator|32786|
286|Capsule Aerosolizer/Inhaler Unit|18828|
289|Capsule Aerosolizer/Inhaler Unit|18829|
290|Capsule Aerosolizer/Inhaler Unit|18830|
291|Capsule Aerosolizer/Inhaler Unit|18831|
294|Alcohol Pad or Swab|598|
296|Sterile Water for Injection|30281|
297|Pen Injector|17455|
300|Capsule Aerosolizer/Inhaler Unit|20576|
302|Sterile Water for Injection|2677|
307|Double-Ended Needle|12747|
308|Filter needle|12747|
309|Double-Ended Needle|32825|
310|Filter needle|32825|
311|IV Administration Set (unspecified)|32102|
312|Vented Transfer Device|32102|
319|Vaginal Applicator|4837|
320|Vaginal Applicator|6816|
321|Vaginal Applicator|6815|
322|Vaginal Applicator|6814|
327|Filter needle|1224|
328|Double-Ended Needle|1224|
332|Double-Ended Needle|1227|
333|Filter needle|1227|
334|Vaginal Applicator|22190|
336|Vented Transfer Device|125|
338|27 gauge needle|31448|
339|Alcohol Pad or Swab|31448|
341|Vaginal Applicator|6557|
342|Nasal Pump, Metered Dose|24496|
343|20 gauge needle|31448|
345|20 gauge needle|31447|
346|27 gauge needle|31447|
347|Alcohol Pad or Swab|31447|
351|Vial adapter|32878|
352|Nasal Pump, Metered Dose|30999|
357|27 gauge needle with syringe (FSH unit callibration)|4338|
358|29 gauge, 0.5 inch Pen Needle|4008|
360|Pregnancy Test, Urine|19269|
362|Adhesive Overlays|13429|
364|Epinephrine Injection Trainer |18705|
366|29 gauge, 0.5 inch Pen Needle|4007|
368|Safety Needle|1782|
384|29 gauge, 0.5 inch Pen Needle|4009|
387|Inhaler mouthpiece|19301|
388|Applicator Cone, detachable|8384|
389|IV Administration Set (unspecified)|6645|
390|IV Administration Set (unspecified)|6644|
392|18 gauge, 1.5 inch needle|5115|
393|27 gauge, 0.5 inch needle|5115|
396|27 gauge, needle with vial adapter|23997|
397|Alcohol Pad or Swab|23997|
398|Sodium Chloride 0.54%, for Injection|23997|
410|Inhaler mouthpiece|564|
411|Nasal Pump, Metered Dose|16466|
412|27 gauge, 0.5 inch needle|30301|
413|Alcohol Pad or Swab|30301|
414|2ML Syringe|30301|
415|30 gauge, 0.5 inch needle|30301|
417|Enema tip|3729|
418|Enema tip|3727|
419|2ML Syringe|173|
420|27 gauge, 0.5 inch needle|173|
421|30 gauge, 0.5 inch needle|173|
422|Alcohol Pad or Swab|173|
423|2ML Syringe|20779|
424|27 gauge, 0.5 inch needle|20779|
425|30 gauge, 0.5 inch needle|20779|
426|Alcohol Pad or Swab|20779|
432|Alcohol Pad or Swab|30299|
433|Needle (unspecified size)|2823|
434|Alcohol Pad or Swab|2823|
435|Alcohol Pad or Swab|2825|
436|Needle (unspecified size)|2825|
437|Inhaler mouthpiece|3935|
438|Inhaler mouthpiece|4265|
439|Vaginal Applicator|8101|
442|Measuring Cup|18987|
443|Nasal Pump, Metered Dose|7698|
444|IV Administration Set (unspecified)|32939|
451|Pressure Sensitive Labels|16450|
452|Pressure Sensitive Labels|16446|
454|IV Transfer Set|11304|
456|20 gauge needle with safety device|1950|
457|Vial adapter|1950|
459|20 gauge needle with safety device|1951|
460|Vial adapter|1951|
462|20 gauge needle with safety device|1952|
463|Vial adapter|1952|
465|29 gauge, 0.5 inch needle|30463|
466|Alcohol Pad or Swab|30463|
467|Edex injection device|30463|
468|29 gauge, 0.5 inch needle|19299|
469|Alcohol Pad or Swab|19299|
470|Edex injection device|19299|
471|29 gauge, 0.5 inch needle|30464|
472|Edex injection device|30464|
473|Alcohol Pad or Swab|30464|
475|Double-Ended Needle|32967|
476|Filter needle|32967|
481|Double-Ended Needle|32968|
482|Filter needle|32968|
487|Measuring Cup|12425|
488|Spray Pump and Acutator (for syringe)|19880|
490|Spray Pump and Acutator (for syringe)|15985|
492|Double-Ended Needle|32972|
493|Filter needle|32972|
509|Double-Ended Needle|15985|
510|Vaginal Applicator|7677|
511|Vaginal Applicator|31016|
512|Vaginal Applicator|21195|
513|Spray Tip for syringe|19880|
514|Syringe (unspecified size)|19880|
517|25 gauge, 0.5 inch needle|585|
518|Alcohol Pad or Swab|585|
521|1ML Syringe|802|
522|23 gauge, 1.25 inch needle|802|
526|Syringe (unspecified size)|580|
527|Winged Infusion Set|580|
528|23 gauge, 1 inch needle|580|
529|Alcohol Pad or Swab|31516|
530|Dual Cannula Device|31516|
531|10ML Syringe|31516|
532|Genotropin Mixer|19884|
533|Genotropin Mixer|19883|
536|5 Micron IV Filter|17032|
537|Double-Ended Needle|15316|
538|Filter needle|15316|
539|Double-Ended Needle|33005|
540|Filter needle|33005|
541|Double-Ended Needle|31493|
542|Filter needle|31493|
543|Double-Ended Needle|33006|
544|Filter needle|33006|
545|Double-Ended Needle|16865|
546|Filter needle|16865|
548|Double-Ended Needle|31720|
549|Filter needle|31720|
551|Inhaler mouthpiece|12998|
552|Topical Applicator, Disposable|33020|
553|Inhaler mouthpiece|16771|
557|Alcohol Pad or Swab|1218|
558|Bandage (unspecified)|1218|
559|Gauze sponges|1218|
560|Inhaler mouthpiece|15093|
562|Inhaler mouthpiece|15095|
563|Inhaler mouthpiece|3700|
569|Inhaler mouthpiece|14466|
575|Inhaler mouthpiece|21704|
577|Inhaler mouthpiece|7737|
578|Inhaler mouthpiece|13236|
585|Inhaler mouthpiece|24112|
586|Inhaler mouthpiece|22943|
587|Inhaler mouthpiece|21881|
588|Inhaler mouthpiece|24113|
589|Inhaler mouthpiece|24506|
590|Inhaler mouthpiece|22942|
591|Inhaler mouthpiece|24171|
592|Inhaler mouthpiece|19679|
595|Inhaler mouthpiece|12542|
596|Inhaler mouthpiece|31724|
598|Ear Dropper, Calibrated|8127|
604|Inhaler mouthpiece|14994|
608|Inhaler mouthpiece|15004|
610|Inhaler mouthpiece|15014|
612|Filter needle|20195|
613|Filter needle|5160|
615|Inhaler mouthpiece|8005|
619|Vial adapter|33052|
625|Urethral Suppository Applicator|17270|
626|Urethral Suppository Applicator|17266|
627|Urethral Suppository Applicator|17265|
628|Urethral Suppository Applicator|17271|
629|Nebulizer Solution Dropper, Calibrated|21150|
641|Alcohol Pad or Swab|16337|
642|Gauze sponges|16337|
643|3ML Syringe|16337|
644|MICRO PIN vial access pin|16337|
645|23 gauge, 1.25 inch needle|16337|
646|Bandage (unspecified)|16337|
647|Inhaler mouthpiece|9780|
648|Inhaler mouthpiece|32552|
649|Inhaler mouthpiece|4540|
650|Inhaler mouthpiece|32549|
652|27 gauge, 0.5 inch needle|19738|
653|Vial adapter|19738|
654|Alcohol Pad or Swab|19738|
655|21 gauge, 0.5 inch needle|22121|
656|21 gauge, 0.5 inch needle|4847|
657|Inhaler mouthpiece|13898|
658|21 gauge, 0.5 inch needle|31515|
659|Inhaler mouthpiece|13135|
660|Nebulizer Solution Dropper, Calibrated|12958|
661|Nebulizer Solution Dropper, Calibrated|20656|
662|Inhaler mouthpiece|142|
663|Nebulizer Solution Dropper, Calibrated|1209|
664|Vaginal Applicator|6363|
665|Inhaler mouthpiece|19517|
666|Inhaler mouthpiece|16572|
667|Inhaler mouthpiece|19516|
668|Inhaler mouthpiece|16571|
669|Inhaler mouthpiece|18302|
670|Inhaler mouthpiece|16573|
671|Inhaler mouthpiece|4350|
672|Inhaler mouthpiece|4351|
673|Inhaler mouthpiece|4348|
680|Blister Aerosolizer/Inhalation Unit|21795|
681|Blister Aerosolizer/Inhalation Unit|21796|
682|Blister Aerosolizer/Inhalation Unit|21794|
683|Blister Aerosolizer/Inhalation Unit|18178|
684|Blister Aerosolizer/Inhalation Unit|18179|
685|Blister Aerosolizer/Inhalation Unit|18182|
687|Inhaler mouthpiece|9224|
688|Inhaler mouthpiece|13457|
689|Inhaler mouthpiece|32502|
690|Inhaler mouthpiece|9782|
691|Inhaler mouthpiece|8007|
692|Inhaler mouthpiece|19523|
693|Inhaler mouthpiece|21708|
694|Inhaler mouthpiece|19518|
695|Inhaler mouthpiece|21705|
696|Inhaler mouthpiece|16574|
697|Inhaler mouthpiece|179|
699|Inhaler mouthpiece|7613|
701|Inhalation nasal adapter|7616|
702|Inhaler mouthpiece|31074|
703|Inhaler mouthpiece|22634|
704|Inhaler mouthpiece|17494|
705|Inhaler mouthpiece|17834|
706|Inhaler mouthpiece|16606|
707|Inhaler mouthpiece|31488|
708|Inhaler mouthpiece|16158|
709|Inhaler mouthpiece|31295|
710|Inhaler mouthpiece|16673|
711|Inhaler mouthpiece|4739|
712|Inhaler mouthpiece|3403|
713|Inhaler mouthpiece|17223|
714|Inhaler mouthpiece|16498|
715|Double-Ended Needle|1140|
716|20 Micron Filter|1140|
717|Double-Ended Needle|31314|
718|Filter needle|31314|
719|Filter needle|33152|
720|Double-Ended Needle|33152|
723|Filter needle|33154|
724|Double-Ended Needle|33154|
725|1ML Syringe|879|
726|Filter needle|879|
729|10ML Syringe|17592|
730|20 gauge needle|17592|
731|60ML Syringe|17592|
732|Stomach Tube|17592|
733|60 ML Syringe, Nonsterile|17592|
734|Tourniquet|17592|
735|Cleansing Wipes|24444|
736|Rectal Applicator|24444|
737|Cleansing Wipes|33182|
738|Rectal Applicator|33182|
739|Aerosol Delivery Tube|560|
740|23 gauge, 1.25 inch needle|1218|
743|Syringe Plunger Rod|5607|
744|Eye Dropper (non-calibrated)|15308|
746|27 gauge needle with syringe (FSH unit callibration)|24770|
747|Shaker Cup|33336|
749|Ear Syringe|33386|
766|Rectal Applicator|33613|
767|Finger Toothbrush|33842|
769|Finger Toothbrush|33851|
771|Child Toothbrush|33845|
778|22 gauge, 1.5 inch needle|16121|
779|Nit Comb|33979|
781|Nit Comb|33981|
788|Vented Needle|704|
789|Bifurcated Needle|704|
806|Vaginal Applicator|34382|
816|Lice Killing Spray, Non-human application|34485|
817|Nit Comb|34485|
855|Vaginal Applicator|35023|
856|Vaginal Applicator|35024|
886|Lancet Device|35519|
906|Vented Transfer Device|35915|
907|Four-Way Stopcock|35917|
908|Sterile Water for Injection|35935|
909|Sterile Water for Injection|35940|
910|Sterile Water for Injection|35942|
911|Filter needle|35948|
914|Vaginal Applicator|35992|
915|Vaginal Applicator|35993|
916|10ML Syringe|19278|
917|Needle (unspecified size)|19278|
918|Alcohol Pad or Swab|19278|
919|Dispensing pin|19278|
920|Double-Ended Needle|31313|
921|Filter needle|31313|
922|IV Administration Set (unspecified)|31533|
923|Filter needle|36065|
924|Vaginal Applicator|36081|
925|Vaginal Applicator|36102|
926|30 Unit Suppository Mold w/Caps|36115|
927|30 Unit Suppository Mold Cover w/Supp Dispensing Tool|36115|
928|Guide Plate|36115|
929|Dispensing pin|36119|
930|Vial adapter|36130|
931|Rectal Applicator|36193|
932|Cleansing Wipes|36193|
935|Vaginal Applicator|36312|
936|Vaginal Applicator|36314|
945|Vented Transfer Device|36465|
946|IV Administration Set (unspecified)|36465|
947|15 Micron IV Filter|36465|
949|Vaginal Applicator|36509|
952|Vented Transfer Device|36757|
953|Four-Way Stopcock|36758|
974|Vaginal Applicator|37044|
992|Vaginal Applicator|36101|
993|Dispensing pin|37281|
994|10ML Syringe|37282|
995|Needle (unspecified size)|37282|
996|Alcohol Pad or Swab|37282|
997|Dispensing pin|37282|
1000|Nasal Pump, Metered Dose|37441|
1005|Bandage (unspecified)|37545|
1007|Syringe (unspecified size)|37602|
1008|Cannula, attached injector|37612|
1009|Cannula, attached injector|37617|
1012|Rectal Applicator|37702|
1014|Safety Syringe|598|
1015|3ML Syringe|598|
1016|Vaginal Applicator|37984|
1017|Pen Injector|38072|
1018|Lubricating jelly|37299|
1019|Lubricating jelly|38118|
1020|Lubricating jelly|38119|
1023|Lubricating jelly|38171|
1024|Lubricating jelly|38172|
1025|Lubricating jelly|38173|
1026|Lubricating jelly|38174|
1029|Vaginal Applicator|38198|
1030|Pen Injector|38195|
1031|Pen Needle|38195|
1033|Filter needle|38216|
1034|Dispensing pin|38219|
1035|10ML Syringe|38220|
1036|Needle (unspecified size)|38220|
1037|Alcohol Pad or Swab|38220|
1038|Dispensing pin|38220|
1039|Vaginal Applicator|36810|
1040|Dispensing pin|38272|
1041|10ML Syringe|38273|
1042|Needle (unspecified size)|38273|
1043|Alcohol Pad or Swab|38273|
1044|Dispensing pin|38273|
1046|Alcohol Pad or Swab|38301|
1047|Needle (unspecified size)|38301|
1048|Applicator Cone, detachable|37054|
1049|Vaginal Applicator|37232|
1052|Double-Ended Needle|38587|
1053|Filter needle|38587|
1054|Vial injector|12917|
1056|Occlusive Dressing, transparent|38715|
1059|Inhaler mouthpiece|35043|
1060|Double-Ended Needle|38833|
1061|Filter needle|38833|
1062|Double-Ended Needle|38834|
1063|Filter needle|38834|
1064|Double-Ended Needle|38838|
1065|Filter needle|38838|
1066|IV Administration Set (unspecified)|38838|
1067|Double-Ended Needle|38839|
1068|Filter needle|38839|
1069|IV Administration Set (unspecified)|38839|
1070|Double-Ended Needle|38840|
1071|Filter needle|38840|
1072|IV Administration Set (unspecified)|38840|
1073|1ML 28 gauge, 0.5 inch syringe with needle|38897|
1074|Alcohol Pad or Swab|38900|
1075|Lancet|38901|
1076|Lancet Device|38902|
1077|1ML 30 gauge, 0.5 inch syringe with needle|38903|
1078|1ML 27 gauge, 0.625 inch syringe with needle|38905|
1079|Lancet|38906|
1080|29 gauge, 0.5 inch Pen Needle|38907|
1081|Glucose Meter|38908|
1082|Glucose Meter Test Strips|38909|
1083|Glucose Meter Control Solution, Normal|38910|
1084|Glucose Meter Test Strips|38911|
1085|Lancet|38912|
1086|Glucose Meter Test Strips|38913|
1087|Glucose Meter Test Strips|38914|
1088|Glucose Meter Test Strips|38915|
1089|Glucose Meter Test Strips|38916|
1090|Glucose Meter Test Strips|38917|
1091|Lancet|38918|
1092|Glucose Meter Test Strips|38919|
1093|Glucose Meter Test Strips|38920|
1095|Glucose Meter Test Strips|38922|
1096|Lancet|38923|
1097|0.5ML 29 gauge, 0.5 inch syringe with needle|38921|
1098|Glucose Meter Test Strips|38924|
1099|Glucose Meter Test Strips|38925|
1100|Lancet|38908|
1101|Glucose Meter Test Strips|38908|
1102|Lancet Device|38908|
1103|Glucose Meter Control Solution|38908|
1104|Glucose Meter Control Solution|38926|
1105|Glucose Meter|38926|
1106|Lancet Device|38926|
1107|Lancet|38926|
1108|Glucose Meter|38927|
1109|Lancet Device|38927|
1110|Lancet|38927|
1112|0.5ML 28 gauge, 0.5 inch syringe with needle|38932|
1113|0.3ML 28 gauge, 0.5 inch syringe with needle|38933|
1114|0.5ML 30 gauge, 0.5 inch syringe with needle|38934|
1115|0.3ML 30 gauge, 0.5 inch syringe with needle|38935|
1116|1ML 31 gauge, 0.3125 inch syringe with needle|38936|
1117|0.5ML 31 gauge, 0.3125 inch syringe with needle|38937|
1118|0.3ML 31 gauge, 0.3125 inch syringe with needle|38938|
1119|0.3ML 31 gauge, 0.3125 inch syringe with needle|38939|
1120|Applicator brush|38931|
1121|31 gauge, 0.3125 inch pen needle|38941|
1122|31 gauge, 0.1875 inch pen needle|38942|
1123|1ML 29 gauge, 0.5 inch syringe with needle|38943|
1124|0.3ML 29 gauge, 0.5 inch syringe with needle|38944|
1125|0.5ML 30 gauge, 0.3125 inch syringe with needle|38946|
1126|0.3ML 31 gauge, 0.3125 inch syringe with needle|38947|
1127|1ML 29 gauge, 0.5 inch syringe with needle|38948|
1128|1ML 25 gauge, 1 inch syringe with needle|38949|
1129|1ML 25 gauge, 0.625 inch syringe with needle|38952|
1130|1ML 26 gauge, 0.5 inch syringe with needle|38953|
1131|1ML U-100 Syringe|38954|
1132|1ML 28 gauge, 0.5 inch allergy syringe with needle|38955|
1133|22 gauge, 1.5 inch needle|38959|
1134|25 gauge, 0.625 inch needle|38960|
1135|23 gauge, 1 inch needle|38964|
1136|1ML 25 gauge, 0.625 inch syringe with needle|38970|
1137|3ML 25 gauge, 0.625 inch syringe with needle|38976|
1138|3ML 23 gauge, 1 inch syringe with needle|38977|
1139|1ML 27 gauge, 0.5 inch tuberculin syringe with needle|38978|
1140|Glucose Meter Test Strips|38979|
1141|Glucose Meter Test Strips|38980|
1142|Glucose Meter|38981|
1143|Lancet Device|38981|
1144|Lancet|38981|
1145|Glucose Meter Control Solution|38981|
1146|Glucose Meter|38982|
1147|Lancet Device|38982|
1148|Lancet|38982|
1149|Glucose Meter Test Strips|38982|
1150|Glucose Meter Control Solution|38982|
1151|Glucose Meter Test Strips|38983|
1152|Glucose Meter Test Strips|38984|
1153|Glucose Meter|38985|
1154|Lancet Device|38985|
1155|Lancet|38985|
1156|Sharps Container|38986|
1157|Safety Clip|38987|
1158|Magnifier and Needle Guide|38988|
1159|Syringe Housing with Injector Device|38989|
1160|Sharps Container|38990|
1161|3ML 22 gauge, 1.5 inch syringe with needle|38991|
1162|5ML 22 gauge, 1.5 inch syringe with needle|38992|
1163|10ML 22 gauge, 1.5 inch syringe with needle|38993|
1164|1ML 27 gauge, 0.5 inch tuberculin syringe with needle|38994|
1165|1ML 25 gauge, 0.625 inch syringe with needle|38995|
1166|10ML Syringe|38996|
1167|5ML 21 gauge, 1.5 inch syringe with needle|38999|
1168|10ML 21 gauge, 1.5 inch syringe with needle|39000|
1169|3ML 25 gauge, 0.625 inch syringe with needle|39003|
1170|5ML Syringe|39012|
1171|3ML syringe|39019|
1172|3ML 21 gauge, 1.5 inch syringe with needle|39022|
1173|3ML 23 gauge, 1 inch syringe with needle|39023|
1174|3ML 22 gauge, 1.5 inch syringe with needle|39024|
1175|25 gauge, 0.625 inch needle|39025|
1176|25 gauge, 1 inch needle|39026|
1177|23 gauge, 1 inch needle|39027|
1178|22 gauge, 1.5 inch needle|39028|
1179|3ML syringe|39029|
1180|18 gauge, 1.5 inch needle|39030|
1181|18 gauge, 1.5 inch needle|39031|
1182|1ML 25 gauge, 0.625 inch syringe with needle|39032|
1183|31 gauge, 0.3125 inch pen needle|39062|
1184|31 gauge, 0.3125 inch pen needle|39063|
1185|Bandage (unspecified)|39073|
1186|1ML 25 gauge, 1 inch syringe with needle|39117|
1187|1ML 26 gauge, 0.375 inch syringe with needle|39118|
1188|1ML 27 gauge, 0.5 inch syringe with needle|39119|
1189|1ML 29 gauge, 0.5 inch syringe with needle|39120|
1190|3ML 25 gauge, 0.625 inch syringe with needle|39121|
1191|3ML 25 gauge, 1 inch syringe with needle|39122|
1192|3ML 23 gauge, 1 inch syringe with needle|39123|
1193|3ML 22 gauge, 1.5 inch syringe with needle|39124|
1194|3ML 21 gauge, 1 inch syringe with needle|39125|
1195|3ML 21 gauge, 1.5 inch syringe with needle|39126|
1196|1ML Syringe|39048|
1197|23 gauge, 1.25 inch needle|39048|
1198|Cleansing Wipes|39150|
1201|Syringe (unspecified size)|30571|
1202|Alcohol Pad or Swab|30571|
1203|Inhaler Device with Dose Counter|39166|
1204|22 gauge, 1.5 inch needle|39192|
1205|Lancet|39197|
1206|Lancet|39198|
1207|Lancet|39199|
1208|Lancet|39202|
1209|Lancet Device|39203|
1210|Glucose Meter Control Solution, High|39204|
1211|Glucose Meter Control Solution, Low|39205|
1212|5ML Syringe|39221|
1213|20 gauge, 0.5 inch needle|39221|
1214|20 gauge, 1.5 inch needle with safety device|39221|
1215|Lancet|39231|
1216|Lancet|39232|
1217|Lancet|39233|
1218|Lancet|39234|
1219|Lancet|39235|
1220|Glucose Meter Test Strips|39236|
1221|Glucose Meter|39237|
1222|Glucose Meter|39238|
1223|Glucose Meter|39239|
1224|Lancet|39239|
1225|Glucose Meter Test Strips|39239|
1226|Lancet Device|39239|
1227|Glucose Meter Control Solution|39239|
1228|Glucose Meter|39240|
1229|Lancet|39240|
1230|Lancet Device|39240|
1231|Glucose Meter Test Strips|39240|
1232|Glucose Meter Control Solution|39240|
1233|Alcohol Pad or Swab|23739|
1234|25 gauge, 1 inch needle|39270|
1235|Glucose Meter Control Solution|39280|
1236|Glucose Meter Test Strips|39281|
1237|Glucose Meter Test Strips|39282|
1238|Glucose Meter with BP monitor|39292|
