CompanyID|CompanyName|CompanyNameShort|LabelerCode|ParentCompanyID|MVX|
2111|Intergel Division of IVC Industries, Inc.|Intergel|62112|1666||
2133|FDC Limited|FDC Ltd|00000|1666||
2144|Ethypharm, Inc|Ethypharm|00000|1666||
2147|GTC Biotherapeutics|GTC |00000|1666||
2148|Alembic Limited|Alembic|46708|1666||
2152|Novel Laboratories, Inc|Novel Lab|00000|1666||
2167|Avema Pharma Solutions|Avema|00000|1864||
2168|Deseret Laboratories|Deseret La|00000|1666||
2173|Aaron Industries, Inc|Aaron|00000|1666||
2188|Anika Therapeutics, Inc|Anika |00000|1666||
2204|Fresenius Kabi Ltd|Fresenius |18124|1828||
2206|Integrated Pharmaceuticals|Integrated|00000|1666||
2211|Halo Pharmaceuticals, Inc|Halo|00000|1666||
2220|Alkem Laboratories, Inc|Alkem |00000|1666||
2237|NovaDel Pharma|NovaDel|00000|1666||
2245|Biocon Limited|Biocon Ltd|00000|1666||
2261|Holopack Verpackungstechnik GmbH|Holopack|00000|1666||
2262|Norwich Pharmaceuticals, Inc|Norwich |00000|1577||
2264|MIPHARM S.p. A.|MIPHARM |00000|1666||
2272|Confab Laboratories Inc|Confab|00000|1666||
2284|Gorbec Pharmaceuticals Services Inc|Gorbec|37811|1666||
2289|Mitim SRL|Mitim SRL|00000|1666||
2290|MonoSol Rx, LLC|MonoSol Rx|00000|1666||
2291|Julphar|Julphar|00000|1666||
2295|Granules India Limited|Granules|00000|1666||
2307|NeoStrata Company Inc|NeoStrata |00000|1666||
2313|IPR Pharmaceuticals, Inc.|IPR|54921|1666||
2318|VeroScience LLC|VeroScienc|00000|1666||
2322|Steri-Pharma LLC|Steri-Phar|00000|1666||
2325|Dainippon Sumitomo Pharma Co; Ltd.|DSP|00000|1666||
2329|Tidor Pharma|Tidor|00000|1666||
2185|Cilag AG|Cilag AG|00000|1666||
2235|Hisamitsu Pharmaceutical|Hisamitsu |00000|1666||
2236|IBSA Institut Bioshimique SA|IBSA|00000|1666||
2042|Nutri-Force Nutrition|NFN|00000|1666||
2177|Nutritional Laboratories International|Nutri Lab |00000|1666||
2241|Nuvo Manufacturing|Nuvo|00000|1666||
1078|Ony Inc|Ony|61938|1666||
1575|Sinclair Pharmaceuticals. LTD|Sinclair|12350|1666||
2156|Recipharm |Recipharm|00000|1666||
2083|Unique Pharmaceuticals (a division of JB Chemicals and Pharmaceuticals Ltd.)|Unique|00000|1666||
2351|UPM Pharmaceuticals|UPM|00000|1666||
1837|Antibioticos do Brasil Ltda|Antibiotic|00000|1666||
1754|AUTOMATIC LIQUID PACKAGING INC |Auto Liq |48879|1666||
1849|AR-Med Ltd|AR-Med Ltd|00000|1666||
1592|PCH Pharmachemie|PCH |00000|233||
2276|Tedec-Meiji Farma, SA|Tedec-Meij|00000|1666||
1815|Belmac Laboratories|Belmac Lab|00000|1666||
2323|Bluepharma Industria Farmaceutica, SA|Bluepharma|00000|1666||
1956|Chr. Hansen A/S|Chr. Hanse|00000|1666||
1971|Fleet Laboratories Ltd;|Fleet|00000|1666||
2164|Hemofarm USA Corporation|Hemopharm|24717|1666||
2013|Hetero Drugs Limited|Hetero|00000|1666||
1808|Inalco S.P.A|Inalco |00000|1666||
1750|InvaGen Pharmaceuticals, Inc|InvaGen|67787|1666||
1907|Leo Laboratories LTD|Leo Lab|61135|1666||
1891|LTS Lohmann Therapy Systems Corp|LTS |59568|1666||
1604|Nestle USA, Inc|Nestle|50000|1666||
2255|Nordmark Arzneimittel GmbH & Co. KG|Nordmark |00000|1666||
2094|Patheon UK Ltd|Patheon UK|00000|1666||
1408|JB Laboratories Inc|JB Labs|51111|1715||
2047|G.Pohl-Boskamp GmbH and Co|G.Pohl-Bos|00000|1666||
1791|Gedeon Richter, Ltd|Gedeon Ric|00000|1666||
2296|Sciarra Labortories Inc|Sciarra|00000|1666||
2309|Summit Pharmaceuticals|Summit|00000|1666||
2355|Rechon Life Sciences AB|Rechon |00000|1666||
2354|Leon Farma, SA, a Division of ChemoGroup|Leon|00000|1666||
2356|Laboratorios Liconsa, SA, a Division of ChemoGroup|Liconsa|00000|1666||
2359|Oman Pharmaceuticals |Oman|00000|1666||
597|Pharmatek Inc|Pharmatek|39822|1666||
2366|Avanthi Inc|Avanthi|00000|1666||
1933|Osmotica Pharmaceuticals|Osmotica|00000|1666||
2368|Span Packaging Services|Span|55049|1666||
2367|Weimer Pharma GmbH|Weimer|00000|1666||
2371|Kamada Ltd|Kamada|00000|1666||
2377|Dermazone Solutions, Inc.|Dermazone|00000|1666||
2381|Wintac Limited|Wintac |00000|1666||
330|Research Industries Corporation|Resarch|00433|1666||
461|Pharmaceutical Formulations Inc|PharmaForm|10916|1666||
633|PF Laboratories Inc|PF Labs|48692|1666||
1101|Proclinical Inc|Proclinic|62278|1666||
1287|Ilex Pharmaceuticals Lp|Ilex |66410|1666||
1733|RXN PHARMA LLC |RXN Pharma|68451|1666||
1759|Cheminor Drugs Ltd|Cheminor |55112|1666||
1778|CHEMINS CO INC |CHEMINS |48644|1666||
1852|Laboratories Besins International|Besins|00000|1666||
1867|MSD|MSD |00000|1666||
1874|Cumberland Swan|Cumbld Swn|00000|1666||
1875|Rush & Hebble Company, Inc|Rush & Heb|00000|1666||
1906|Galephar Pharmaceutical Research Inc.|Galephar|00000|1666||
1951|Lacsa (Pty Limited|Lacsa|00000|1666||
1963|Sonar Products, Inc|Sonar|00000|1666||
2027|Chesapeake Biological Laboratories, Inc.|CBL|00000|1666||
2038|Neuro-Hitech, Inc.|Neuro-Hite|00000|1666||
2040|Carrington Laboratories, Inc|Carrington|00000|1666||
2052|Theragen|Theragen|00000|1666||
2090|Unico Holdings|Unico|00000|1666||
2126|Halsey Drug Company|Halsey |00000|1666||
2176|CCI|CCI|00000|1666||
2223|Denver Chemical, Inc.|DCI|00000|1666||
2280|Mass Biologics|Mass|14362|1666||
2306|Huahai US Inc|Huahai US|00000|1666||
2324|Belcher Pharmaceuticals|Blecher|00000|1666||
2337|Facta Farmaceutici SpA|Facta |00000|1666||
2384|Indicus Pharma|Indicus|00000|1666||
2389|Instituto BioChimico|BioChimico|00000|1666||
2395|Bushu Pharmaceuticals Ltd|Bushu|00000|1666||
2402|Cispharma, Inc|Cispharma|00000|1666||
2403|Arizona Nutritional Supplements, Inc.|Arizona|00000|1666||
2407|AAA Pharmaceuticals|AAA|00000|1666||
2409|Kareway Product Inc|Kareway|00000|1666||
1730|Cadila Healthcare LTD|Cadila|65841|1674||
2417|Asept Pak Inc|Asept Pak|00000|1666||
2424|PharmaPac  LLC|Pharma Pac|00000|1666||
2438|Elite Laboratories, Inc.|Elite |00000|1666||
2443|Hoffmann-La Roche Inc.|Roche|00000|161||
2446|Instituto Bioclon S.A. de C.V|Instituto|00000|1666||
2448|BestSweet Inc|BestSweet|00000|1666||
2450|AustarPharma LLC|AustarPhar|00000|1666||
2460|IriSys, Inc.|IriSys|00000|1666||
2466|Dynamit Nobel GmbH|Dynamit|00000|1666||
2470|Altropro Pharmaceuticals|Altropro|00000|1666||
2481|Novopharm Limited|Novopharm|00000|874||
2486|Blu Caribe Pharmaceuticals|Blu|00000|2003||
2268|Navinta, LLC|Navinta|00000|2459||
2473|G Production Inc|G |00000|1666||
2017|ICN Puerto Rico, Inc|ICN|00000|1666||
2071|3M Health Care LTD|3M |11517|231||
2497|3M Drug Delivery Systems|3M |00000|231||
2503|H Q Specialty Pharma Corporation|H Q |00000|1666||
2504|Mustafa Nevzat Ilac Sanayii A.S.|Mustafa|00000|1666||
2480|A L and S LLC|A L and S |00000|511||
2484|Able C and C Co|Able|13733|2407||
2509|FFF Enterprises|FFF|68403|1666||
2513|ALPEX PHARMA|ALPEX|00000|1666||
1866|AccuMed Inc|AccuMed |00000|1666||
1842|Advance Pharmaceuticals|Advance|00000|1666||
2445|Zhejiang Huahai Pharmaceutical Co., Ltd|Zhejiang |00000|1666||
1860|Yung Shin Pharmaceutical Industrial Company LTD|Yung Shin|00000|1666||
2393|Winder Laboratories, LLC|Winder |00000|1666||
2523|Laboratoire Unither|Unither|00000|1666||
1964|Vetter Pharma|Vetter|00000|1666||
2032|Vascular Solutions|Vascular |00000|1666||
1954|USV Limited|USV Ltd|00000|1666||
2529|Laboratoires Chemineau|Lab|00000|1666||
2531|American Antibotics, LLC|AA LLC|00000|1666||
2532|G Production Inc|G|00000|1666||
1731|Unigene Laboratory Inc|Unigene|67885|1666||
1873|Triad Contract Manufacturing|Triad |00000|1666||
870|Tri Med Laboratories Inc|Tri Med |55654|1666||
1979|Therapex|Therapex|00000|443||
1180|Teikoku Seiyaku Co Ltd|Teikoku|64032|1666||
1789|Tapemark Company|Tapemark |00000|1666||
2065|Swiss Cap AG|Swiss Cap |00000|1666||
2539|Merus Labs|Merus|00000|1666||
2544|Lotus Pharmaceutical Co Ltd|Lotus|00000|1666||
1576|Sovereign Pharmaceuticals Ltd|Sovereign|00000|1666||
539|Siegfried Ltd|Siegfried|17205|1666||
2097|Sanquin Blood Supply Foundation |Sanquin |00000|1666||
2252|Rottendorf Pharma GmbH|Rottendorf|00000|1666||
1664|Rodlen Laboratories, Inc Sub Winston Laboratories|Rodlen |66358|1666||
2405|Ritedose Corporation|Ritedose|00000|1666||
2553|Indoco Remedies Ltd|Indoco|00000|1666||
2554|Mirror Pharmaceuticals LLC|Mirror|00000|1666||
2557|Stragen Pharma S.A.|Stragen |00000|1666||
2558|Affymax Inc|Affymax |00000|1666||
2380|ErgoJect, LLC|ErgoJect|00000|2144||
2129|Rentschler Biotechnologie|Rentschler|00000|1666||
2108|Raritan Pharmaceuticals|Raritan|00000|1666||
2030|R.P. Scherer|R.P. Scher|00000|1955||
1588|Quigley Corporation|Quigley|91108|1666||
1862|QUALITY HOME HEALTHCARE INC |QUALITY HC|61458|1666||
1871|Qualis Inc|Qualis Inc|00000|1666||
1809|QPharma, LLC|QPharma, |00000|1666||
2564|PharmaTech USA |PharmaTech|00000|1666||
1654|Provident Pharmaceuticals LLC|Provident|10149|1666||
2118|Protoform Labs|Protoform |00000|1666||
2008|Progenics Pharmaceuticals, Inc|Progenics |00000|1666||
2441|PreCision Dermatology, Inc.|PreCision|00000|1666||
2571|GE Diabetes|GE Diabete|00000|1666||
2410|Polichem SA|Polichem|00000|1666||
1864|PL Developments|PL|00000|1666||
2095|Pharmetics, Inc.|Pharmetics|52814|1666||
127|Pharmavite, LLC|Pharmavite|31604|1666||
1834|Pharmachemie B.V.|Pharmachem|00000|233||
2579|SciVolutions Medical, LLC|SciVol|00000|1666||
2580|ScieGen Pharmaceuticals, Inc|ScieGen|00000|1666||
1710|Pharmaceutical Manufacturing Research Services Inc|PMRS|61607|1666||
2358|Pharbil Waltrop GmbH|Pharbil |00000|1666||
1636|Pegasus Laboratories Inc|Pegasus |10974|1666||
1194|Pancap Inc|Pancap|64282|1666||
2330|Osny Pharma|Osny |00000|1666||
1884|Orion Corporation Orion Pharma|Orion|52483|1715||
2594|Arena Pharmaceuticals, Inc.|Arena|00000|1666||
590|Nutramax Products Inc|Nutramax|38206|1666||
1615|Lil Drug Store Products, Inc|Lil Drug |00000|1666||
1831|Laboratoires Carilene|Carilene|00000|1666||
1755|Johnson and Johnson|J&J|00000|1666||
1660|GC Hanford Manufacturing CO|GC Hanford|10515|1666||
2599|Almirall Pharmaceuticals|Almirall|00000|1666||
1535|Clonmel Healthcare Ltd|Clonmel|55190|1666||
2600|Industrial Farmaceutica Cantabria|Industrial|00000|1666||
1850|Can-Am Care|Can-Am |00000|1715||
1600|Kimberly-Clark Corp|Kim-Clark|36000|1666||
1836|Neil Laboratories|Neil|00000|1010||
761|Gentrac Inc|Gentrac|52766|1666||
312|Mylan Pharmaceuticals Inc|Mylan|00378|1666||
2195|Mylan Pharmaceuticals Inc|Mylan|00378|312||
416|Becton Dickinson|BD|08290|1666||
999|Digestive Care Inc|Digestive |59767|1666||
1463|Wockhardt USA, LLC|Wockhardt|64679|1666||
267|Valeant Pharmaceuticals|Valeant|00187|1666||
2003|Blu Pharmaceuticals, LLC|Blu Pharm|24658|1666||
2207|Pfizer Injectables|Pfizer|00069|202||
2248|Pfizer Injectables|Pfizer Inj|00009|2207||
2374|Chattem, Inc. is a wholly-owned subsidiary of Sanofi-Aventis |Chattem|41167|180||
2414|Pfizer Injectables|Pfizer|00013|2207||
2597|AvPAK; a Division of AvKARE Inc|AvPAK|50268|2602||
2319|Medimetriks Pharmaceuticals, Inc.|Medimetrik|43538|1666||
2429|Medimetriks Pharmaceuticals, Inc.|Medimetrik|43538|2319||
1323|Prasco Laboratories|Prasco|66993|1666||
2221|Prasco Laboratories|Prasco|66993|1323||
2610|Intellject Inc|Intellject|00000|1666||
950|Stratus Pharmaceuticals Inc|Stratus|58980|1666||
2612|Dexcel Pharma Technologies Ltd.|Dexcel |00000|1666||
2613|Adrian Pharmaceuticals, LLC|Adrian|52096|1666||
264|Ivax Corporation a Division of Teva USA|IVAX|00182|233||
339|Teva Pharmaceutical Industries Ltd|Teva|00480|233||
366|Ivax Research Inc a Division of Teva USA|IVAX|00575|233||
384|Sicor Pharmaceuticals Inc A subsidiary of Teva Pharmaceuticals USA|Sicor|00703|233||
968|Ivax Laboratories, Inc a Division of Teva USA|IVAX|59310|233||
1742|Teva Neuroscience, Inc. |Teva Neuro|68546|233||
2614|Delta Hi-Tech Inc|Delta|89134|1666||
2485|West-Ward Injectables|West-Ward|00641|248||
233|Teva Pharmaceuticals USA Inc|Teva|00093|1666||
306|Baxter Medication Delivery|Baxter |00338|1666||
373|Baxter Anesthesia/Critical Care|Baxter |00641|306||
404|Major Pharmaceuticals Inc|Major |00904|2433||
428|Baxter Anesthesia/Critical Care|Baxter |10019|306||
1044|Baxter Anesthesia/Critical Care|Baxter |60977|306||
1319|Baxter Pharmaceutical Solutions Llc|Baxter|66914|306||
1325|Baxter Oncology GMBH|Baxter|67108|306||
1657|Baxter Anesthesia/Critical Care Oncology|Baxter |10019|306||
1689|ANI Pharmaceuticals, Inc.|ANI|62559|1666||
1856|EMD Serono Inc|EMD Serono|44087|604||
2081|Teva Specialty Pharmaceuticals|TSP|59310|233||
2213|Teva Pharmaceuticals USA|Teva |50111|233||
2219|Teva Pharmaceuticals USA|Teva|00555|358||
2285|Teva Pharmaceuticals USA|Teva|00703|384||
2383|Baxter Renal Division|Baxter|00941|306||
2457|Teva Pharmaceuticals USA|Teva|00555|233||
2616|Delta Hi-Tech, Inc|Delta|51709|2614||
197|Janssen Pharmaceuticals, Inc, formerly Ortho-McNeil Pharmaceuticals|Janssen|00045|1755||
209|Janssen Pharmaceuticals, Inc, formerly Ortho Womens Health & Urology, Division of|Janssen|00062|1755||
236|Janssen Pharmaceuticals, Inc, formerly Ortho Pharmaceuticals a division of Ortho-McNeil-Janssen Pharmaceiuticals, Inc|Janssen|00107|1755||
679|Janssen Phamaceuticals, formerly Primary Care, a division of Ortho-McNeil-Janssen Pharmaceuticals|Primary|50458|1755||
906|Janssen Biotech,Inc , formerly Centocor Inc, a Dvision of Orho-McNeil-Janssen Pharmaceuticals, Inc|Janssen|57894|1755||
985|Janssen Pharmaceuticals, Inc, fomerly Ortho-McNeil Neurologics, a division of Ortho-McNeil-Janssen Pharmaceuticals|Janssen|50458|1755||
991|Janssen Products, LP, formerly Ortho Biotec , LP|Ortho Bio|59676|1755||
1968|Janssen Therapeutics, Division of Janssen Products, LP, formerly Tibotec Therapeutics, Division of Centocor Ortho Biotech Product, L.P.|Janssen|59676|991||
2194|Janssen Pharmaceuticals, Inc, formerly Pricara, a Division of Ortho-McNeil-Janssen  Pharmaceuticals, Inc|Janssen|50458|679||
2387|Janssen Pharmaceuticals, Inc, formerly Ortho Womens Health and Urolog, Inc.|Janssen|50458|985||
2419|Janssen Pharmaceuticals, Inc|Janssen |50458|1755||
2420|Janssen Biotech, Inc.|Janssen|57894|1755||
2422|Janssen Therapeutics, Division of Janssen Products, LP|Janssen|59676|1755||
2617|Zyg Pharma Pvt ltd|Zyg Pharma|00000|1666||
241|Colgate Oral Pharmaceuticals Inc|Colgate|00126|1666||
1344|Romark Laboritories|Romark |67546|1666||
1727|Bayer Diagnostics|Bayer |00193|182||
845|DRX Pharmaceutical Consultants Inc|DRX|55045|1666||
2386|Dr. Reddy's Laboratories|Dr. Reddy|43598|851||
2432|Exelan Pharmaceuticals, Inc.|Exelan |76282|1666||
2619|OHM Laboratories Inc|OHM Labs|51660|1148||
324|Hospira Worldwide Inc.|Hospira|00409|1666||
2370|Wilshire Pharmaceuticals, Inc|Wilshire|52536|1885||
2620|Pillar5 Pharma Inc|Pillar5|00000|1666||
2621|ABL Medical, LLC|ABL|31060|1666||
250|Stiefel Laboratories Inc a GSK Company|Stiefel|00145|43||
1709|Amneal Pharmaceuticals LLC|Amneal|65162|1666||
1925|Torrent Pharma, Inc|Torrent |13668|1666||
2020|Amneal Pharmaceuticals|Amneal |53746|1709||
157|Eli Lilly and Co|Eli Lilly|00002|1666||
391|Dista Products Co Div Eli Lilly and Co|Dista|00777|157||
867|Ferring Pharmaceuticals Inc|Ferring |55566|1666||
941|Novartis Ophthalmics Inc|Novartis |58768|224||
1095|Orphan Medical Inc a Subsidiary of Jazz Pharmaceuticals|Orphan Med|62161|1708||
1782|Abbott Diabetes Care, Inc|Abbott |99073|219||
1930|Camber Pharmaceuticals Inc|Camber|31722|1666||
2007|Ferring Pharmaceuticals Inc|Ferring|55566|867||
2018|Novartis Vaccines and Diagnostics, Inc.|Novartis |66521|224||
2192|Novartis Vaccines and Diagnostics, Inc.|Novartis|63851|2018||
2300|Solco Healthcare US LLC|Solco|43547|1666||
164|Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.|Merck S&D|00006|2222||
182|Bayer Pharmaceuticals Corporation|Bayer|00026|1666||
1024|Apotex Corp|Apotex|60505|1666||
1151|Daiichi Sankyo Inc|Daiichi |63395|1261||
1261|Daiichi Sankyo Inc |Daiichi |65597|1666||
1301|Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.|Merck S&D|66582|2222||
1714|Sandoz Inc|Sandoz |66685|392||
1735|Sandoz Inc|Sandoz |00185|392||
1816|Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.|Merck S&D|00085|1301||
1824|Sandoz Inc.|Sandoz|64814|392||
2006|Sandoz, Inc.|Sandoz|00781|392||
2099|Sandoz, Inc.|Sandoz|54643|392||
2244|Sandoz Inc,|Sandoz|66758|392||
2624|Abbott Diabetes Care, Inc|ADC|93815|1782||
2625|Abbott Diabetes Care, Inc|ADC|57599|1782||
2626|TROPHIKOS|TROPHIKOS|00000|1804||
1701|Onset Therapeutics|Onset|16781|2441||
2190|Allos Therapeutics a wholly-owned subsidiary of Spectrum Pharmaceuticals |Allos |48818|2034||
2299|Metacon Labs|Metacon|49808|1666||
2372|West-Ward Pharmaceutical Corp|West-Ward|00143|248||
2528|West-Ward Pharmaceutical Corp|West-Ward|00143|248||
688|McNeil Consumer Healthcare Division of McNEIL-PPC, Inc.|McNeil |00501|1680||
962|Ortho McNeil Pharmaceutical Inc Drug Delivery Div|Ortho|59136|1755||
1399|RA McNeil Co|RAMcNeil|12830|1666||
1648|Triax Pharmaceuticals, LLC|Triax|14290|2441||
1680|McNeil Consumer Healthcare Division of McNEIL-PPC, Inc.|McNeil|00045|1755||
1890|UCB, Inc.|UCB|00091|680||
1929|Triax Pharma|Triax|14290|2441||
2440|AmerisourceBergen Corporation|ABC|87701|1666||
673|Genentech Inc, a member of the Roche Group|Genetech|50242|161||
755|General Injectables and Vaccines Inc|Genrl Inj|52584|1666||
983|Celgene Corp|Celgene|59572|1666||
2061|ProStrakan Inc.|ProStrakan|42747|1666||
2138|Fora Care Inc.|Fora Care |98939|1666||
2155|Aurolife Pharma, LLC an Aurobindo Company|Aurolife|13107|1536||
2628|Nipro Diagnostics|Nipro|21292|1783||
43|GlaxoSmithKline Pharmaceuticals|GSK|00007|1666||
174|Bristol Myers Squibb Oncology Products|BMS |00015|158||
208|Bristol Myers Squibb Pharma Co|BMS|00056|158||
229|Bristol Myers Squibb Co|BMS|00087|158||
260|GlaxoSmithKline Group of Companies|GSK|00173|43||
350|American Regent Inc, a division of Luitpold Pharmaceuticals|Am Regent|00517|455||
732|Breckenridge Inc|Breknridge|51991|1666||
1163|Bristol Myers Squibb Sanofi Pharmaceuticals Partnership|BMS-Sanofi|63653|158||
1667|Ipsen Biopharmaceuticals, Inc. formerly Tercica Inc, a subsidiary of Ipsen Group|Tercica|15054|1940||
1776|Bristol Myers Squibb and Gilead Sciences|BMS-Gilead|15584|1666||
1803|GlaxoSmithKline Group of Companies|GSK|19515|43||
1940|Ipsen Pharma Biotech|Ipsen |66108|1666||
2011|GlaxoSmithKline Group of Companies and Adolor Corporation Partnership |GSK Adolor|11227|43||
2043|Ipsen Pharmaceuticals, Inc.|Ipsen |55688|1940||
2197|Ipsen Biopharmaceuticals, Inc. formerlyTercica Inc, a subsidiary of Ipsen Group |Ipsen|15054|2043||
2265|Physician Therapeutics Inc, LLC|Physician |68405|1666||
2456|21st Century HealthCare, Inc|Century|40985|1666||
2632|MacLeods Pharma|MacLeods|33342|1666||
2634|BioPharm, Inc.|BioPharm|00000|1666||
1484|Global Pharmaceuticals |Global |00115|1805||
2633|Pharmasol Corporation |Pharmasol|00000|1666||
2636|Prism Phamaceuticals, a wholly owned subsidiary of Baxter Healthcare Corporation|Prism|43066|306||
2637|ACON Laboratories, Inc.|ACON|82607|1666||
2127|Legacy Pharmaceutical Packaging, LLC|Legacy|68645|2183||
2183|Legacy Packaging|Legacy|68645|1666||
2638|SimplyThick LLC|Simply|20513|1666||
1784|Anesta Corp.|Anesta |00000|1153||
2379|Abbott Medical Optics, Inc., formerly Advanced Medical Optics|AMO|29943|219||
2436|Richmond Division of Wyeth, A subsidiary of Pfizer Inc|Wyeth HC|00031|163||
1693|Anabolic Laboratories Inc|Anabolic|00772|1666||
1702|Alliance Medical Products|Alliance |66872|1666||
377|Pfizer Pharmaceuticals Inc|Pfizer|00663|202||
2398|Wyeth Consumer|Wyeth|00005|163||
1327|Pfizer Pharmaceuticals Ltd|Pfizer|67158|202||
2344|Todays Health, Inc|Today|43072|1666||
2364|Trovis Pharmaceuticals LLC|Trovis |00000|1666||
2602|AvKARE, Inc.|AvKARE|42291|1666||
1901|Northstar Rx LLC|Northstar|68820|1666||
1959|Northstar Rx LLC|Northstar |16714|1901||
1854|Cadista Pharmaceuticals Inc. Fmrly Jubilant Pharmaceuticals|Cadista|59746|997||
998|Greenstone Ltd|Greenstone|59762|202||
2226|Smith Drug Company|Smith |00000|1666||
1536|Aurobindo Pharma USA Inc.|Aurobindo|65862|1666||
815|Geritrex Corporation|Geritrex|54162|1666||
2521|Sagent Pharmaceuticals|Sagent |25021|1666||
781|Bio-Tech Pharmacal, Inc.|Bio-Tech|53191|1666||
2639|Bio-Tech Pharmacal, Inc.|Bio-Tech|05105|781||
238|Goodsense a Division of Perrigo|Goodsense|00113|1715||
295|Denison Pharmaceuticals Inc|Denison|00295|1666||
2459|Navarro Pharmacy|Navarro|00000|1666||
441|Del Pharmaceuticals|Del |10310|1666||
1779|Lupin Brand Pharma|Lupin |68180|1365||
923|Deliz Pharmaceutical Corp|Deliz |58238|1666||
1767|Price Chopper|Price Chop|00000|1666||
1859|Lupin Pharmaceuticals, Inc. Brand Division|Lupin|27437|1365||
2369|Publix Super Markets, Inc|Publix|41415|1666||
1365|Lupin Pharmaceuticals|Lupin |68180|1666||
1047|Dental Resources Inc|Dental Res|61048|1666||
1|Geneva Pharmaceuticals Inc|Geneva||392||
10|Monticello Drug Co.|Monticello|11868|1666||
27|Pharmatron Natural Health Products|Pharmatron|79319|1666||
39|Aventis Pharmaceuticals|Aventis|00585|180||
53|Leiner Health Products|Leiner |00000|1376||
69|Repligen Corporation|Repligen|67066|1666||
154|Advancis Pharmaceutical Corp.|Advancis|11042|1895||
159|Mead Johnson |Mead Johns|00003|1666||
161|Roche Pharmaceuticals|Roche|00004|1666||
162|Lederle Pharmaceutical Div American Cyanamid Co|Lederle|00005|163||
189|Purdue Frederick Co|Purdue|00034|1666||
192|MedPointe Pharmaceuticals|MedPointe|00037|1931||
193|Sanofi-Aventis US LLC|Sanofi-A|00039|222||
194|Oral B Laboratories|Oral B|00041|1666||
196|Knoll Laboratories Div Knoll Pharmaceutical Co|Knoll |00044|219||
201|Knoll Pharmaceutical Co Sub BASF Corp|Knoll |00048|219||
213|Dermik Laboratories a division of Valeant|Dermik|00066|267||
215|Merrell Pharmaceuticals Inc|Merrell|00068|222||
223|Star Pharmaceuticals Inc|Star |00076|1703||
231|3M Pharmaceuticals Inc|3M Pharm|00089|1666||
